≈Î»≠,2022-01-31,2022-02-28,2022-03-31,2022-04-29,2022-05-31,2022-06-30,2022-07-29,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-30
AED,327.37,327.45,329.64,345.6,339.17,351.99,355.01,366.86,390.62,386.41,362.5,345.06
ARS,11.48,11.19,10.92,11.02,10.38,10.34,9.94,9.72,9.76,9.1,7.97,7.17
AUD,846.43,862.94,909.01,901.78,896.1,889.52,912.34,924.12,933.12,908.49,889.64,858.41
BDT,13.99,13.99,14.04,14.67,13.99,13.84,13.77,14.18,14.16,13.99,13.1,12.29
BHD,3189.05,3190.02,3211.33,3366.75,3304.16,3429.26,3458.7,3574.08,3805.63,3764.42,3531.55,3361.27
BND,888.79,884.63,895.13,915.31,911.64,927.97,945.3,963.88,1001.92,1005.92,968.19,943.11
BRL,222.38,232.91,253.79,257.02,262.06,249.47,251.54,263,265.81,267.98,252.66,239.72
CAD,944.1,942.96,970.15,991.06,984.28,1003.03,1018.19,1029.49,1048.83,1042.91,979.8,935.38
CHF,1291.58,1296.71,1311.74,1305.77,1300.28,1354.03,1365.45,1383.54,1470.53,1424.28,1395.19,1372.87
CNH,189.34,190.41,190.02,192.03,186.4,192.75,193.35,194.84,199.66,195.94,184.64,181.44
CZK,54.84,53.67,55.29,54.27,54.32,54.58,54.1,54.99,57.42,57.65,56.44,55.85
DKK,180.04,180.37,181.66,179.1,180.42,181.47,178.58,181.55,189.44,189.88,184.81,181.7
EGP,76.39,76.56,66.27,68.65,66.96,68.77,68.92,70.05,73.43,59.51,54.24,51.19
EUR,1340.07,1342.09,1351.13,1332.74,1342.29,1350.05,1329.3,1350.26,1408.83,1413.34,1374.31,1351.2
GBP,1609.53,1605.12,1590.81,1581.86,1575.69,1567.32,1587.36,1570.65,1598.37,1645.96,1591.14,1527.67
HKD,154.35,154.03,154.69,161.78,158.73,164.77,166.12,171.68,182.78,180.83,170.48,162.55
HUF,3.76,3.71,3.68,3.52,3.41,3.42,3.28,3.35,3.35,3.43,3.38,3.38
IDR,8.36,8.37,8.44,8.76,8.56,8.71,8.73,9.08,9.4,9.13,8.46,8.09
ILS,376.25,368.5,380.74,382.11,373.18,373.7,382.85,404.84,402.98,402.05,387.34,360.23
INR,15.99,16.02,15.97,16.56,16.06,16.38,16.37,16.91,17.61,17.25,16.31,15.31
JOD,1695.91,1695.02,1707.76,1789.78,1757.12,1823.55,1839.21,1900.56,2023.7,2000.28,1878,1786.82
JPY,1042.8,1041.52,992.74,970.16,975.61,946.45,970.53,970.65,993.25,961.19,959.54,953.18
KWD,3968.32,3969.18,3986.17,4136.2,4072.97,4216.21,4246.17,4372.87,4630.93,4581.79,4326.28,4139.2
KZT,2.77,2.61,2.6,2.84,2.94,2.76,2.72,2.84,3.01,3.03,2.85,2.75
MNT,0.42,0.42,0.41,0.41,0.4,0.41,0.41,0.42,0.43,0.42,0.39,0.37
MXN,57.9,58.45,60.91,62.05,63.73,64.2,64.25,66.87,71.2,71.58,69.25,65.15
MYR,286.46,286.36,287.98,290.98,285.32,293.86,292.85,301.08,309.52,300.54,295.33,286.49
NOK,134.43,133.59,141.26,134.78,132.41,130.69,133.96,137.35,134.11,137.51,132.95,128.12
NZD,792.14,804.49,844.59,823.97,816.81,804.96,821,826.56,823.07,823.62,825.13,804.23
PHP,23.46,23.44,23.29,24.23,23.82,23.49,23.36,23.99,24.51,24.47,23.54,22.7
PKR,6.8,6.8,6.63,6.83,6.27,6.31,5.43,6.12,6.25,6.41,5.93,5.59
PLN,293.91,285.73,291.07,284.1,292.67,289.1,278.97,285.79,290.22,299.41,293.88,288.7
QAR,330.24,329.44,331.36,347.81,341.24,352.03,354.29,366.82,391.62,386.13,364.46,346.81
RUB,15.36,14.33,14.5,17.45,19.47,24.86,20.86,22.46,24.95,23.07,21.88,16.9
SAR,320.48,320.57,322.73,338.43,332.13,344.58,347.18,358.71,381.77,377.61,354.29,337.07
SEK,128.04,125.33,130.83,128.52,127.66,126.31,127.7,126.19,128.65,129.23,125.72,121.17
SGD,888.79,884.63,895.13,915.31,911.64,927.97,945.3,963.84,1001.92,1005.92,968.19,943.11
THB,36.11,36.73,36.34,36.86,36.57,36.73,35.78,36.95,37.83,37.45,37.59,36.66
TRY,88.38,85.48,82.57,85.77,76.03,77.8,72.64,74.06,77.56,76.26,71.41,67.72
TWD,43.3,42.99,42.48,43.07,42.98,43.48,43.65,44.25,45.34,44.19,43.02,41.27
USD,1202.4,1202.7,1210.8,1269.4,1245.8,1292.9,1304,1347.5,1434.8,1419.3,1331.5,1267.3
VND,5.31,5.27,5.3,5.53,5.37,5.56,5.58,5.75,6.02,5.72,5.38,5.37
ZAR,77.77,78.16,83.56,79.43,80.41,79.59,78.85,79.42,79.69,78.33,78.32,74.83
